tweet_text,sentiment_predict
Apartamento Vila Mariana Praça Monteiro dos Santos O iMudou é especialista em imóveis e encontrou 7 oportunidades para a busca apartamento vila mariana praca monteiro dos santos. Temos as ofertas com o menor preço! :) https://t.co/8JlJ0N1Ewe,1
@FalleNCS @BrasilGameShow quero 1x1 de scout. Dizem que dou muita bala cagada :),0
mais uma analógica no correio à minha espera :D Só falta receber duas lentes e começar a revelar em casa.,0
"Em festa de posse como presidente do STF, Toffoli canta Legião Urbana https://t.co/IEs709I35Z",1
@thethiagor @jubsilva @GSCISA @GrupoMulheRIs A Flávia tem tuiter também @fmedeirosss :),0
"@putaqueparola @aaa_nie @jrpilar @DCM_online Brincadeiras: não pode de um lado, pode de outro. De um lado é ódio, do outro só meme. Deu pra entender sim, obrigado :)",0
"Tem um senhor de idade aqui no hospital onde eu estou, chorando de dor e chamando o nome dos filhos dele Ele tá internado sem nenhum acompanhante. Estou muito triste :(",0
"Votação de brasileiros no exterior deve ser recorde, diz Itamaraty https://t.co/o2Hzp5F390",1
#Fato isto explica tudo https://t.co/tcz7JEG3Bw,0
@LauandaVentura Vou tentar mais uma vez :-),0
Oi eu sou a criança deprimida :) https://t.co/p13tvMUSSq,1
"@jelenatype voltei, é q tu nao manda mais msg acaba nem sabendo grr, mas inclusive eu ganhei :P https://t.co/vdODqE88yo",0
"Eu nunca pensei que, um dia, eu ia fugir dos meus problemas... Mas eu nem voto, então não coloquem a culpa em mim :) https://t.co/6WTAiisFaV",0
"@canhascp @sttoyan Obg, era mm isso :) abraço",0
"@giordanelages Oh, Gio :(( Sinto muito! Forças e bênçãos pra você e sua família",0
Grupo flagrado tentando usar ônibus sem pagar na Colômbia é obrigado a limpar o chão https://t.co/SaROcR2po0,1
Cinco bons podcasts para ouvir e acompanhar https://t.co/ppgDDjYHqC,0
@edivaldo1000 Mandei DM. Verifica lá. :),0
Esses jogos do Brasileirão só servem para realçar a lista de dispensas para 2019! #Fato,2
"#Fsradiobrasil @benjaminback BENJAAAA, UM QUESTIONAMENTO AO SR. SORMANI ! Ele fala que treinador bom tem que ter cabelo branco e etc.. O MAIOR TÉCNICO DO MUNDO ( PEPE GUARDIOLA), não tem nem cabelo branco e nem cabelo ! O cabeça branca do Sormani está desatualizada #FATO",0
Por que o Cabo Daciolo soa como um rapper? Entenda no vídeo: https://t.co/FVAuVWDHG2,1
@valoreconomico Inacreditável que tem pessoas wue votem nesse imbecil :(,0
Angela Maria: Veja repercussão da morte da cantora https://t.co/aH2y11obcd #G1 https://t.co/0XzTyVHEGA,1
Anitta rouba a cena com look sexy no Prêmio Multishow de Música Brasileira. https://t.co/MAiFNMVl4V https://t.co/KgaheXGIHt,1
Seis candidatos a presidente participam de terceiro debate na TV; veja propostas https://t.co/q9hmTb40ea #G1 https://t.co/MZCY1fK04U,2
@parrillamotel eu to mto mal depois de ter visto esse video :( quero q esse merda morra da pior forma possível existente no planeta e q a vida dele tenha a pior das dores porra eu to mto puta,0
@rayrchx seria mesmoooo :(,0
@stylouist91 sinto muito ícone :(((,0
@felipenogs vamos tomar um café :),1
